ID; A.X; A.Y; B.X; B.Y; A; L
3134;-473909;-1258865;-472409;-1255765;25;3443;
5270;-505909;-1251765;-504409;-1248665;25;3443;
6978;-450709;-1258265;-447609;-1259765;115;3443;
16247;-469709;-1261065;-468209;-1257965;25;3443;
26335;-508009;-1261865;-506509;-1264965;154;3443;
2800;-482609;-1263765;-482209;-1267165;173;3423;
16872;-450209;-1291565;-449809;-1294965;173;3423;
17251;-482609;-1263765;-482209;-1267165;173;3423;
20532;-465809;-1264665;-464609;-1261465;20;3417;
8482;-467309;-1309965;-464409;-1311765;121;3413;
9519;-467309;-1309965;-464409;-1311765;121;3413;
21948;-489709;-1318465;-487909;-1321365;148;3413;
2156;-468409;-1240565;-465009;-1240365;86;3405;
6188;-472009;-1250065;-469809;-1252665;139;3405;
13407;-490509;-1280065;-490309;-1276665;3;3405;
14001;-479709;-1254765;-479509;-1251365;3;3405;
24789;-490509;-1280065;-490309;-1276665;3;3405;
2416;-472509;-1295765;-472409;-1299165;178;3401;
8382;-460709;-1320165;-457309;-1320065;88;3401;
9568;-481009;-1295565;-480909;-1298965;178;3401;
13502;-453209;-1272865;-453109;-1276265;178;3401;
15053;-476309;-1256965;-476209;-1260365;178;3401;
16389;-479709;-1255665;-479609;-1252265;1;3401;
16878;-472509;-1295865;-472409;-1299265;178;3401;
17314;-508009;-1261865;-506609;-1264965;155;3401;
17997;-481009;-1295565;-480909;-1298965;178;3401;
18410;-483509;-1273865;-483409;-1270465;1;3401;
19439;-468209;-1264965;-468109;-1268365;178;3401;
24879;-453209;-1272865;-453109;-1276265;178;3401;
26444;-476309;-1257065;-476209;-1260465;178;3401;
2632;-489109;-1278565;-489109;-1275165;0;3400;
9294;-483609;-1241265;-480209;-1241265;90;3400;
11415;-461409;-1252565;-461409;-1249165;0;3400;
14093;-506209;-1256765;-506209;-1253365;0;3400;
80;-488709;-1321765;-486409;-1324265;137;3397;
3919;-476809;-1263865;-474509;-1261365;42;3397;
21009;-488709;-1321765;-486409;-1324265;137;3397;
26786;-453209;-1249965;-452509;-1246665;11;3373;
5277;-453809;-1245465;-452109;-1242565;30;3361;
12804;-479809;-1244765;-478109;-1247665;149;3361;
25595;-490509;-1318765;-488809;-1321665;149;3361;
26561;-479809;-1244765;-478109;-1247665;149;3361;
22745;-458009;-1257565;-457409;-1260865;169;3354;
4177;-469709;-1253565;-468709;-1250365;17;3352;
11930;-453209;-1301865;-452209;-1305065;162;3352;
24263;-450609;-1242065;-448509;-1244665;141;3342;
3308;-469409;-1321465;-466109;-1321965;98;3337;
21982;-474709;-1320865;-472509;-1323365;138;3330;
1555;-487309;-1264365;-485509;-1267165;147;3328;
7916;-456509;-1263065;-453709;-1264865;122;3328;
1680;-504609;-1261565;-503709;-1264765;164;3324;
1739;-455409;-1267965;-453009;-1265665;46;3324;
4247;-452609;-1247065;-451709;-1243865;15;3324;
4847;-473209;-1272265;-470909;-1269865;43;3324;
6421;-488709;-1321765;-486409;-1324165;136;3324;
9750;-473709;-1279665;-471409;-1282065;136;3324;
14959;-504609;-1261565;-503709;-1264765;164;3324;
16205;-455409;-1267965;-453009;-1265665;46;3324;
16958;-480109;-1286665;-477709;-1284365;46;3324;
19522;-476809;-1263765;-474509;-1261365;43;3324;
20367;-473209;-1272265;-470909;-1269865;43;3324;
25781;-453209;-1301865;-452309;-1305065;164;3324;
1290;-484109;-1289565;-483809;-1292865;174;3313;
15803;-484109;-1289665;-483809;-1292965;174;3313;
15831;-460809;-1280165;-460609;-1283465;176;3306;
18855;-462709;-1240465;-459409;-1240665;93;3306;
18914;-456109;-1324365;-455909;-1321065;3;3306;
481;-466509;-1273465;-463809;-1271565;54;3301;
1253;-472509;-1295865;-472409;-1299165;178;3301;
3050;-479709;-1252565;-479609;-1255865;178;3301;
7809;-459209;-1272765;-456509;-1270865;54;3301;
12715;-461409;-1252565;-461309;-1249265;1;3301;
15709;-472509;-1295965;-472409;-1299265;178;3301;
22418;-487309;-1272165;-485409;-1274865;144;3301;
25603;-490509;-1317365;-488609;-1320065;144;3301;
5298;-483409;-1241265;-480109;-1241265;90;3300;
14466;-473309;-1299565;-473309;-1296265;0;3300;
15339;-506209;-1256765;-506209;-1253465;0;3300;
19615;-501809;-1259265;-501809;-1255965;0;3300;
24608;-473309;-1299565;-473309;-1296265;0;3300;
25733;-478409;-1305765;-478409;-1302465;0;3300;
25842;-473309;-1299565;-473309;-1296265;0;3300;
12673;-478009;-1251165;-477209;-1254365;165;3298;
17648;-452609;-1247065;-451809;-1243865;14;3298;
21383;-476009;-1271465;-475209;-1268265;14;3298;
25321;-477909;-1251465;-477109;-1254665;165;3298;
1602;-506109;-1265165;-505409;-1268365;167;3275;
13901;-479809;-1244765;-478109;-1247565;148;3275;
2113;-502909;-1245465;-500409;-1243365;49;3264;
3905;-498409;-1265965;-495509;-1264465;62;3264;
5273;-502909;-1245565;-500409;-1243465;49;3264;
9449;-477909;-1317765;-475809;-1320265;139;3264;
20861;-502909;-1245565;-500409;-1243465;49;3264;
16713;-455009;-1315665;-454009;-1312565;17;3257;
18939;-455009;-1315765;-454009;-1312665;17;3257;
21177;-483609;-1288865;-482609;-1285765;17;3257;
68;-482709;-1319465;-480509;-1321865;137;3255;
2832;-476809;-1263865;-474609;-1261465;42;3255;
3938;-455509;-1267965;-453109;-1265765;47;3255;
7393;-482709;-1319465;-480509;-1321865;137;3255;
12731;-461509;-1247965;-459109;-1250165;132;3255;
13665;-464709;-1262965;-462509;-1265365;137;3255;
21484;-481709;-1265265;-481109;-1262065;10;3255;
168;-471409;-1305365;-469109;-1307665;135;3252;
2877;-457509;-1274665;-455209;-1272365;45;3252;
16088;-463509;-1267865;-461209;-1265565;45;3252;
17994;-480809;-1302965;-478509;-1305265;135;3252;
18176;-473709;-1279665;-471409;-1281965;135;3252;
26274;-455409;-1267965;-453109;-1265665;45;3252;
13437;-487309;-1272165;-485509;-1274865;146;3245;
14912;-490909;-1266565;-489109;-1269265;146;3245;
21471;-456609;-1262965;-453909;-1264765;123;3245;
24818;-487309;-1272165;-485509;-1274865;146;3245;
14540;-491109;-1282965;-490609;-1286165;171;3238;
14428;-453209;-1301865;-452309;-1304965;163;3228;
25042;-482509;-1264665;-482109;-1267865;172;3224;
91;-489609;-1317165;-487709;-1319765;143;3220;
2002;-472909;-1252765;-471509;-1249865;25;3220;
3158;-472909;-1252765;-471509;-1249865;25;3220;
4976;-492709;-1259565;-490809;-1256965;36;3220;
12988;-490609;-1317265;-488709;-1319865;143;3220;
16168;-508009;-1261865;-506609;-1264765;154;3220;
17592;-472909;-1252765;-471509;-1249865;25;3220;
21615;-473709;-1258565;-472309;-1255665;25;3220;
23908;-488409;-1263065;-485509;-1264465;115;3220;
5067;-474609;-1257865;-474309;-1254665;5;3214;
1373;-460809;-1280265;-460609;-1283465;176;3206;
3946;-488309;-1260065;-488109;-1263265;176;3206;
1288;-483109;-1293565;-483009;-1290365;1;3201;
1764;-480309;-1263765;-480209;-1260565;1;3201;
3420;-453209;-1301565;-452409;-1304665;165;3201;
4773;-460709;-1273565;-458709;-1271065;38;3201;
5200;-476109;-1260465;-473609;-1258465;51;3201;
6928;-494109;-1262265;-491009;-1263065;104;3201;
7072;-476109;-1260465;-473609;-1258465;51;3201;
10772;-455409;-1298465;-455309;-1301665;178;3201;
13241;-472509;-1296065;-472409;-1299265;178;3201;
14473;-472509;-1295965;-472409;-1299165;178;3201;
15741;-483109;-1293565;-483009;-1290365;1;3201;
15955;-489109;-1278665;-489009;-1275465;1;3201;
17834;-490709;-1317365;-488709;-1319865;141;3201;
19945;-470309;-1328565;-467209;-1329365;104;3201;
24066;-461409;-1252565;-461309;-1249365;1;3201;
24615;-472509;-1295965;-472409;-1299165;178;3201;
25849;-472509;-1295965;-472409;-1299165;178;3201;
4024;-501809;-1259165;-501809;-1255965;0;3200;
10142;-468909;-1255365;-465709;-1255365;90;3200;
11315;-476309;-1260165;-476309;-1256965;0;3200;
11380;-503209;-1258265;-503209;-1255065;0;3200;
11953;-473309;-1299565;-473309;-1296365;0;3200;
13234;-473309;-1299565;-473309;-1296365;0;3200;
14504;-483009;-1293565;-483009;-1290365;0;3200;
23325;-473309;-1299565;-473309;-1296365;0;3200;
25874;-483009;-1293565;-483009;-1290365;0;3200;
11283;-486209;-1259965;-485109;-1262965;159;3195;
12260;-499309;-1278565;-497609;-1281265;147;3190;
18644;-492309;-1253465;-489609;-1255165;122;3190;
19115;-476009;-1292665;-474309;-1289965;32;3190;
12970;-485009;-1318365;-482909;-1320765;138;3189;
18867;-450609;-1242165;-448509;-1244565;138;3189;
120;-471609;-1316665;-469309;-1318865;133;3182;
1702;-476809;-1263765;-474609;-1261465;43;3182;
5458;-471609;-1316665;-469309;-1318865;133;3182;
13643;-499609;-1267365;-497409;-1269665;136;3182;
16165;-476809;-1263765;-474609;-1261465;43;3182;
17307;-476809;-1263765;-474609;-1261465;43;3182;
17694;-477609;-1243565;-475309;-1241365;46;3182;
12274;-493809;-1271465;-492509;-1274365;155;3178;
8400;-486809;-1322065;-485309;-1324865;151;3176;
3973;-465809;-1264965;-464809;-1261965;18;3162;
7632;-483609;-1288865;-482609;-1285865;18;3162;
8918;-456509;-1262965;-453909;-1264765;124;3162;
14416;-456309;-1305065;-455309;-1302065;18;3162;
15118;-492609;-1259465;-490809;-1256865;34;3162;
21320;-459109;-1272665;-456509;-1270865;55;3162;
23801;-487309;-1264465;-485509;-1267065;145;3162;
25752;-456309;-1305065;-455309;-1302065;18;3162;
26475;-492609;-1259465;-490809;-1256865;34;3162;
3256;-466809;-1247465;-466209;-1244365;10;3157;
4371;-469909;-1321265;-466809;-1321865;100;3157;
12047;-480609;-1289465;-480009;-1286365;10;3157;
24277;-456109;-1240065;-455509;-1243165;169;3157;
52;-478109;-1321265;-476209;-1323765;142;3140;
9209;-484209;-1246665;-482309;-1249165;142;3140;
11116;-491609;-1267065;-489709;-1269565;142;3140;
12135;-500909;-1279465;-500409;-1282565;170;3140;
16043;-491909;-1266665;-490009;-1269165;142;3140;
22523;-491609;-1267065;-489709;-1269565;142;3140;
23449;-478309;-1292365;-477809;-1289265;9;3140;
23538;-500909;-1279465;-500409;-1282565;170;3140;
9867;-494709;-1271465;-493509;-1274365;157;3138;
10536;-490409;-1318965;-488809;-1321665;149;3138;
11754;-490409;-1318965;-488809;-1321665;149;3138;
11764;-489609;-1318565;-488009;-1321265;149;3138;
18297;-494709;-1271465;-493509;-1274365;157;3138;
21940;-490409;-1318965;-488809;-1321665;149;3138;
22428;-494709;-1271465;-493509;-1274365;157;3138;
23139;-490409;-1318965;-488809;-1321665;149;3138;
13164;-453209;-1301865;-452309;-1304865;163;3132;
23295;-453209;-1301865;-452309;-1304865;163;3132;
24509;-453209;-1301865;-452309;-1304865;163;3132;
2110;-505809;-1251465;-504409;-1248665;26;3130;
3215;-505809;-1251465;-504409;-1248665;26;3130;
4263;-505809;-1251465;-504409;-1248665;26;3130;
5446;-458009;-1313165;-455209;-1314565;116;3130;
6025;-488609;-1262865;-485809;-1264265;116;3130;
8984;-488609;-1262865;-485809;-1264265;116;3130;
10351;-479509;-1245065;-478109;-1247865;153;3130;
14223;-484009;-1316765;-482609;-1319565;153;3130;
15341;-505809;-1251465;-504409;-1248665;26;3130;
16564;-505809;-1251465;-504409;-1248665;26;3130;
17667;-505809;-1251465;-504409;-1248665;26;3130;
17815;-492409;-1318365;-491009;-1321165;153;3130;
19868;-505809;-1251465;-504409;-1248665;26;3130;
26720;-505809;-1251465;-504409;-1248665;26;3130;
14931;-482609;-1264065;-482209;-1267165;172;3125;
26307;-482609;-1264065;-482209;-1267165;172;3125;
85;-490609;-1317565;-488609;-1319965;140;3124;
3218;-502909;-1245565;-500509;-1243565;50;3124;
4266;-502909;-1245565;-500509;-1243565;50;3124;
10587;-478009;-1317665;-476009;-1320065;140;3124;
17670;-502909;-1245565;-500509;-1243565;50;3124;
19871;-502909;-1245565;-500509;-1243565;50;3124;
23377;-479309;-1295365;-477309;-1297765;140;3124;
3868;-478209;-1273265;-475909;-1271165;47;3114;
12015;-450209;-1291465;-449909;-1294565;174;3114;
13170;-474209;-1299365;-473909;-1296265;5;3114;
19452;-478209;-1273265;-475909;-1271165;47;3114;
20486;-455509;-1267965;-453209;-1265865;47;3114;
22709;-477309;-1259765;-477009;-1256665;5;3114;
9530;-480809;-1302965;-478609;-1305165;135;3111;
14964;-455309;-1267865;-453109;-1265665;45;3111;
18439;-495709;-1263065;-493509;-1265265;135;3111;
5051;-475309;-1258265;-475109;-1255165;3;3106;
12204;-487309;-1272165;-485609;-1274765;146;3106;
15377;-472409;-1255765;-469809;-1254065;56;3106;
